venue_id,venueName,tag_id,tag,frequency,modelCount,wordCount,models,prompts,extraction_run_id
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,ea56145f-d84b-5f96-9d67-62273536d15b,delicious food,23,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,ffed35f7-5b59-5dd4-af88-d61d0e607a89,good courts,23,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,ce26c95b-72c4-5c04-9988-434bc68a9cd7,paddle tennis,23,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,a6eef995-154a-55ca-b217-d3dfe6f0b5ab,good menu,21,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,86ff4fe3-4084-570a-8f0f-b0d03250341b,nice place,19,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,da35b031-cfd1-58f3-ba9e-05b846a8312f,delicious breakfast,18,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,33db61bc-3744-550c-bcee-2498ece37e71,gym,13,4,1,"claude,gemini,grok,openai","anti_hallucination,minimal",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,98c6ee5a-992c-513f-8f36-c197becba373,average receptionist service,12,3,3,"gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,adb4df35-e8b4-5db4-844f-df0bd65abd60,good area,12,3,2,"gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,bf73f663-91cb-5810-83b7-ed6800a52fe3,highly recommended,11,3,2,"gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,d27f6ae5-7c56-5a8f-91b8-79d74784e616,bodypump classes,10,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,554b9581-cc16-58da-95ef-aae59d217c7b,bodystep classes,10,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,c9876bce-0fa2-59b1-81b2-58be443c6c9d,friendly attentive waiter,10,3,3,"gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,be831c69-7a34-531c-8f87-4ed7267319e0,bodycombat classes,9,3,0,"claude,gemini,grok","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,1cf05eb9-ce1e-59f6-9962-3ce03674ddc2,excellent place,9,3,2,"gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,68765c90-480b-532c-8e27-b45be67c254f,fitness classes,9,4,2,"claude,gemini,grok,openai","minimal,short_phrase",week2_run_20251223_191104
0C3FBm4g9DPjogLP0Ifl,Advantage Padel Club,4aa3bcec-e1b8-5e0a-ba7a-74c00dd2e9e3,friendly waiter,8,3,2,"claude,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
